# IRs

PyTorch 2.0 offers two set of IRs for backends to interface with: Core Aten IR
and Prims IR.

## Core Aten IR

Core aten ops is the core subset of aten operators that can be used to compose
other operators. Core aten IR is fully functional, and there is no `inplace`
or `_out` variants in this opset. In contrast to Prims IR, core aten ops
reuses the existing aten ops in “native_functions.yaml”, and it doesn’t
further decompose ops into explicit type promotion and broadcasting ops. This
opset is designed to serve as the functional IR to interface with backends.

Warning

This opset is still under active development, more ops will be added in the
future.

Operator | Schema  
---|---  
`aten._adaptive_avg_pool2d` | _adaptive_avg_pool2d(Tensor self, SymInt[2] output_size) -> Tensor  
`aten._adaptive_avg_pool2d_backward` | _adaptive_avg_pool2d_backward(Tensor grad_output, Tensor self) -> Tensor  
`aten._adaptive_avg_pool3d` | _adaptive_avg_pool3d(Tensor self, SymInt[3] output_size) -> Tensor  
`aten._cdist_forward` | _cdist_forward(Tensor x1, Tensor x2, float p, int? compute_mode) -> Tensor  
`aten._embedding_bag` | _embedding_bag(Tensor weight, Tensor indices, Tensor offsets, bool scale_grad_by_freq=False, int mode=0, bool sparse=False, Tensor? per_sample_weights=None, bool include_last_offset=False, int padding_idx=-1) -> (Tensor, Tensor, Tensor, Tensor)  
`aten._local_scalar_dense` | _local_scalar_dense(Tensor self) -> Scalar  
`aten._log_softmax` | _log_softmax(Tensor self, int dim, bool half_to_float) -> Tensor  
`aten._native_batch_norm_legit` | _native_batch_norm_legit(Tensor input, Tensor? weight, Tensor? bias, Tensor(a!) running_mean, Tensor(b!) running_var, bool training, float momentum, float eps) -> (Tensor, Tensor, Tensor)  
`aten._native_batch_norm_legit.no_stats` | _native_batch_norm_legit.no_stats(Tensor input, Tensor? weight, Tensor? bias, bool training, float momentum, float eps) -> (Tensor, Tensor, Tensor)  
`aten._native_batch_norm_legit_no_training` | _native_batch_norm_legit_no_training(Tensor input, Tensor? weight, Tensor? bias, Tensor running_mean, Tensor running_var, float momentum, float eps) -> (Tensor, Tensor, Tensor)  
`aten._pdist_forward` | _pdist_forward(Tensor self, float p=2) -> Tensor  
`aten._softmax` | _softmax(Tensor self, int dim, bool half_to_float) -> Tensor  
`aten._to_copy` | _to_copy(Tensor self, *, ScalarType? dtype=None, Layout? layout=None, Device? device=None, bool? pin_memory=None, bool non_blocking=False, MemoryFormat? memory_format=None) -> Tensor  
`aten.abs` | abs(Tensor self) -> Tensor  
`aten.acos` | acos(Tensor self) -> Tensor  
`aten.acosh` | acosh(Tensor self) -> Tensor  
`aten.adaptive_avg_pool1d` | adaptive_avg_pool1d(Tensor self, int[1] output_size) -> Tensor  
`aten.add.Scalar` | add.Scalar(Tensor self, Scalar other, Scalar alpha=1) -> Tensor  
`aten.add.Tensor` | add.Tensor(Tensor self, Tensor other, *, Scalar alpha=1) -> Tensor  
