# torch.nn

These are the basic building blocks for graphs:

torch.nn

  * Containers
  * Convolution Layers
  * Pooling layers
  * Padding Layers
  * Non-linear Activations (weighted sum, nonlinearity)
  * Non-linear Activations (other)
  * Normalization Layers
  * Recurrent Layers
  * Transformer Layers
  * Linear Layers
  * Dropout Layers
  * Sparse Layers
  * Distance Functions
  * Loss Functions
  * Vision Layers
  * Shuffle Layers
  * DataParallel Layers (multi-GPU, distributed)
  * Utilities
  * Quantized Functions
  * Lazy Modules Initialization

`Parameter` | A kind of Tensor that is to be considered a module parameter.  
---|---  
`UninitializedParameter` | A parameter that is not initialized.  
`UninitializedBuffer` | A buffer that is not initialized.  
## Containers

`Module` | Base class for all neural network modules.  
---|---  
`Sequential` | A sequential container.  
`ModuleList` | Holds submodules in a list.  
`ModuleDict` | Holds submodules in a dictionary.  
`ParameterList` | Holds parameters in a list.  
`ParameterDict` | Holds parameters in a dictionary.  
Global Hooks For Module

`register_module_forward_pre_hook` | Registers a forward pre-hook common to all modules.  
---|---  
`register_module_forward_hook` | Registers a global forward hook for all the modules  
`register_module_backward_hook` | Registers a backward hook common to all the modules.  
`register_module_full_backward_pre_hook` | Registers a backward pre-hook common to all the modules.  
`register_module_full_backward_hook` | Registers a backward hook common to all the modules.  
`register_module_buffer_registration_hook` | Registers a buffer registration hook common to all modules.  
`register_module_module_registration_hook` | Registers a module registration hook common to all modules.  
`register_module_parameter_registration_hook` | Registers a parameter registration hook common to all modules.  
## Convolution Layers

`nn.Conv1d` | Applies a 1D convolution over an input signal composed of several input planes.  
---|---  
`nn.Conv2d` | Applies a 2D convolution over an input signal composed of several input planes.  
`nn.Conv3d` | Applies a 3D convolution over an input signal composed of several input planes.  
`nn.ConvTranspose1d` | Applies a 1D transposed convolution operator over an input image composed of several input planes.  
`nn.ConvTranspose2d` | Applies a 2D transposed convolution operator over an input image composed of several input planes.  
`nn.ConvTranspose3d` | Applies a 3D transposed convolution operator over an input image composed of several input planes.  
`nn.LazyConv1d` | A `torch.nn.Conv1d` module with lazy initialization of the `in_channels` argument of the `Conv1d` that is inferred from the `input.size(1)`.  
`nn.LazyConv2d` | A `torch.nn.Conv2d` module with lazy initialization of the `in_channels` argument of the `Conv2d` that is inferred from the `input.size(1)`.  
`nn.LazyConv3d` | A `torch.nn.Conv3d` module with lazy initialization of the `in_channels` argument of the `Conv3d` that is inferred from the `input.size(1)`.  
`nn.LazyConvTranspose1d` | A `torch.nn.ConvTranspose1d` module with lazy initialization of the `in_channels` argument of the `ConvTranspose1d` that is inferred from the `input.size(1)`.  
`nn.LazyConvTranspose2d` | A `torch.nn.ConvTranspose2d` module with lazy initialization of the `in_channels` argument of the `ConvTranspose2d` that is inferred from the `input.size(1)`.  
`nn.LazyConvTranspose3d` | A `torch.nn.ConvTranspose3d` module with lazy initialization of the `in_channels` argument of the `ConvTranspose3d` that is inferred from the `input.size(1)`.  
`nn.Unfold` | Extracts sliding local blocks from a batched input tensor.  
`nn.Fold` | Combines an array of sliding local blocks into a large containing tensor.  
## Pooling layers

`nn.MaxPool1d` | Applies a 1D max pooling over an input signal composed of several input planes.  
---|---  
`nn.MaxPool2d` | Applies a 2D max pooling over an input signal composed of several input planes.  
`nn.MaxPool3d` | Applies a 3D max pooling over an input signal composed of several input planes.  
`nn.MaxUnpool1d` | Computes a partial inverse of `MaxPool1d`.  
`nn.MaxUnpool2d` | Computes a partial inverse of `MaxPool2d`.  
`nn.MaxUnpool3d` | Computes a partial inverse of `MaxPool3d`.  
`nn.AvgPool1d` | Applies a 1D average pooling over an input signal composed of several input planes.  
`nn.AvgPool2d` | Applies a 2D average pooling over an input signal composed of several input planes.  
`nn.AvgPool3d` | Applies a 3D average pooling over an input signal composed of several input planes.  
`nn.FractionalMaxPool2d` | Applies a 2D fractional max pooling over an input signal composed of several input planes.  
`nn.FractionalMaxPool3d` | Applies a 3D fractional max pooling over an input signal composed of several input planes.  
`nn.LPPool1d` | Applies a 1D power-average pooling over an input signal composed of several input planes.  
`nn.LPPool2d` | Applies a 2D power-average pooling over an input signal composed of several input planes.  
`nn.AdaptiveMaxPool1d` | Applies a 1D adaptive max pooling over an input signal composed of several input planes.  
